sku_id,sku_name,category,is_perishable,avg_daily_demand,lead_time_days,std_dev_demand,current_stock,unit_cost_inr,unit_sp_inr,stockout_hours_last_30d
SKU-00001,Milk 500ml - Pack 1,Dairy,Yes,38,2,2.2,142,27.61,44.47,13
SKU-00002,Curd 400g - Pack 2,Dairy,Yes,25,2,1.7,66,23.33,38.46,0
SKU-00003,Paneer 200g - Pack 3,Dairy,Yes,13,3,1.1,39,59.84,74.15,19
SKU-00004,Butter 100g - Pack 4,Dairy,Yes,7,3,1.5,30,50.02,64.53,25
SKU-00005,Cheese Slices 200g - Pack 5,Dairy,Yes,7,3,1.4,31,81.55,97.68,2
SKU-00006,Bread White 400g - Pack 6,Bakery,Yes,32,3,2.6,89,28.77,40.17,1
SKU-00007,Bread Brown 400g - Pack 7,Bakery,Yes,18,1,1.7,35,30.47,47.09,7
SKU-00008,Croissant 2pc - Pack 8,Bakery,Yes,10,1,1.4,22,54.19,72.11,11
SKU-00009,Muffin 2pc - Pack 9,Bakery,Yes,13,1,2.0,27,50.26,63.0,6
SKU-00010,Burger Buns 4pc - Pack 10,Bakery,Yes,12,3,2.3,38,35.63,47.43,1
SKU-00011,Cola 500ml - Pack 11,Beverages,No,39,2,5.2,292,29.5,39.79,2
SKU-00012,Orange Juice 1L - Pack 12,Beverages,No,18,4,2.7,94,73.84,102.3,1
SKU-00013,Mineral Water 1L - Pack 1,Beverages,No,37,2,5.9,247,11.41,19.52,3
SKU-00014,Energy Drink 250ml - Pack 2,Beverages,No,17,2,2.7,79,62.04,92.06,4
SKU-00015,Cold Coffee 250ml - Pack 3,Beverages,No,14,3,2.3,47,59.89,83.1,11
SKU-00016,Potato Chips 100g - Pack 4,Snacks,No,36,2,4.2,270,26.83,39.22,3
SKU-00017,Namkeen 200g - Pack 5,Snacks,No,19,2,3.0,119,42.43,63.26,10
SKU-00018,Biscuits 100g - Pack 6,Snacks,No,43,1,4.8,401,17.1,28.95,16
SKU-00019,Chocolate Bar 50g - Pack 7,Snacks,No,29,2,3.7,189,30.9,44.67,5
SKU-00020,Cookies 200g - Pack 8,Snacks,No,14,3,2.5,97,49.88,73.86,10
SKU-00021,Shampoo 180ml - Pack 9,Personal Care,No,12,3,2.0,54,82.82,124.84,12
SKU-00022,Soap 100g - Pack 10,Personal Care,No,21,3,3.8,127,29.21,40.63,5
SKU-00023,Toothpaste 100g - Pack 11,Personal Care,No,10,3,2.9,59,63.54,92.27,44
SKU-00024,Face Wash 100ml - Pack 12,Personal Care,No,8,5,2.0,40,109.52,143.65,1
SKU-00025,Hand Wash 250ml - Pack 1,Personal Care,No,11,3,2.1,56,71.02,105.81,5
SKU-00026,Milk 500ml - Pack 2,Dairy,Yes,28,3,2.3,76,26.42,46.16,7
SKU-00027,Curd 400g - Pack 3,Dairy,Yes,24,5,1.7,77,25.37,39.24,3
SKU-00028,Paneer 200g - Pack 4,Dairy,Yes,18,2,1.4,78,48.84,77.57,14
SKU-00029,Butter 100g - Pack 5,Dairy,Yes,11,2,1.5,44,55.78,67.49,3
SKU-00030,Cheese Slices 200g - Pack 6,Dairy,Yes,7,2,0.9,24,84.03,114.35,2
SKU-00031,Bread White 400g - Pack 7,Bakery,Yes,20,1,2.6,48,31.59,40.45,14
SKU-00032,Bread Brown 400g - Pack 8,Bakery,Yes,15,1,1.7,36,30.84,43.76,10
SKU-00033,Croissant 2pc - Pack 9,Bakery,Yes,8,1,2.5,15,58.21,80.79,6
SKU-00034,Muffin 2pc - Pack 10,Bakery,Yes,13,1,1.8,33,49.35,68.7,6
SKU-00035,Burger Buns 4pc - Pack 11,Bakery,Yes,10,2,1.7,30,31.76,52.79,1
SKU-00036,Cola 500ml - Pack 12,Beverages,No,49,2,4.0,374,30.23,40.9,4
SKU-00037,Orange Juice 1L - Pack 1,Beverages,No,25,4,2.6,141,77.21,92.36,5
SKU-00038,Mineral Water 1L - Pack 2,Beverages,No,54,1,6.6,390,10.38,17.54,4
SKU-00039,Energy Drink 250ml - Pack 3,Beverages,No,16,3,2.5,81,59.76,74.86,10
SKU-00040,Cold Coffee 250ml - Pack 4,Beverages,No,18,2,2.1,78,60.53,78.33,7
SKU-00041,Potato Chips 100g - Pack 5,Snacks,No,24,2,4.4,178,25.07,37.65,6
SKU-00042,Namkeen 200g - Pack 6,Snacks,No,13,3,2.6,70,47.89,64.47,16
SKU-00043,Biscuits 100g - Pack 7,Snacks,No,34,1,3.6,301,19.56,25.32,8
SKU-00044,Chocolate Bar 50g - Pack 8,Snacks,No,31,1,3.8,196,25.57,45.13,2
SKU-00045,Cookies 200g - Pack 9,Snacks,No,14,3,2.1,97,50.43,66.27,2
SKU-00046,Shampoo 180ml - Pack 10,Personal Care,No,10,5,1.8,44,86.76,123.07,2
SKU-00047,Soap 100g - Pack 11,Personal Care,No,18,3,2.5,109,27.46,36.68,15
SKU-00048,Toothpaste 100g - Pack 12,Personal Care,No,12,5,2.0,67,69.04,88.61,1
SKU-00049,Face Wash 100ml - Pack 1,Personal Care,No,7,6,1.9,37,111.44,146.37,14
SKU-00050,Hand Wash 250ml - Pack 2,Personal Care,No,11,5,2.2,50,72.13,101.55,2
SKU-00051,Milk 500ml - Pack 3,Dairy,Yes,37,2,2.0,113,30.14,44.79,9
SKU-00052,Curd 400g - Pack 4,Dairy,Yes,20,2,1.9,38,23.06,39.13,11
SKU-00053,Paneer 200g - Pack 5,Dairy,Yes,17,3,1.9,67,52.13,75.44,6
SKU-00054,Butter 100g - Pack 6,Dairy,Yes,13,3,0.6,59,54.01,72.12,16
SKU-00055,Cheese Slices 200g - Pack 7,Dairy,Yes,9,3,1.8,30,79.41,104.6,1
SKU-00056,Bread White 400g - Pack 8,Bakery,Yes,30,2,2.4,61,27.2,38.37,3
SKU-00057,Bread Brown 400g - Pack 9,Bakery,Yes,12,1,1.8,20,31.8,45.09,7
SKU-00058,Croissant 2pc - Pack 10,Bakery,Yes,11,2,1.3,17,56.91,72.95,1
SKU-00059,Muffin 2pc - Pack 11,Bakery,Yes,10,1,2.0,21,48.08,68.15,2
SKU-00060,Burger Buns 4pc - Pack 12,Bakery,Yes,12,1,1.5,35,34.9,47.35,2
SKU-00061,Cola 500ml - Pack 1,Beverages,No,39,3,5.6,321,26.53,39.99,21
SKU-00062,Orange Juice 1L - Pack 2,Beverages,No,22,3,2.6,132,69.11,90.43,9
SKU-00063,Mineral Water 1L - Pack 3,Beverages,No,42,1,5.7,285,11.73,19.59,2
SKU-00064,Energy Drink 250ml - Pack 4,Beverages,No,15,1,2.7,77,64.67,91.07,5
SKU-00065,Cold Coffee 250ml - Pack 5,Beverages,No,14,2,2.6,67,58.08,72.14,3
SKU-00066,Potato Chips 100g - Pack 6,Snacks,No,26,2,3.9,181,26.2,37.72,5
SKU-00067,Namkeen 200g - Pack 7,Snacks,No,18,2,2.5,113,47.99,67.51,2
SKU-00068,Biscuits 100g - Pack 8,Snacks,No,58,2,4.5,532,19.71,27.83,5
SKU-00069,Chocolate Bar 50g - Pack 9,Snacks,No,25,2,3.7,172,26.03,45.81,3
